Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06001","05000US06001","Alameda County","Alameda County, California","ca","050","00","ACSSF","0000013",,,,,"06","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643700,2229.351,737.299922625124
"06003","05000US06003","Alpine County","Alpine County, California","ca","050","00","ACSSF","0000014",,,,,"06","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,1.55213,738.340335167576
"06005","05000US06005","Amador County","Amador County, California","ca","050","00","ACSSF","0000015",,,,,"06","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37829,63.62395,594.5716999461
"06007","05000US06007","Butte County","Butte County, California","ca","050","00","ACSSF","0000016",,,,,"06","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227075,138.759,1636.47018596225
"06009","05000US06009","Calaveras County","Calaveras County, California","ca","050","00","ACSSF","0000017",,,,,"06","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45235,44.34734,1020.01596918596
"06011","05000US06011","Colusa County","Colusa County, California","ca","050","00","ACSSF","0000018",,,,,"06","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21464,18.65278,1150.71297627634
"06013","05000US06013","Contra Costa County","Contra Costa County, California","ca","050","00","ACSSF","0000019",,,,,"06","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133247,1580.36,717.081710031089
"06015","05000US06015","Del Norte County","Del Norte County, California","ca","050","00","ACSSF","0000020",,,,,"06","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27424,27.25427,1006.22778483916
"06017","05000US06017","El Dorado County","El Dorado County, California","ca","050","00","ACSSF","0000021",,,,,"06","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186661,109.2964,1707.84203170053
"06019","05000US06019","Fresno County","Fresno County, California","ca","050","00","ACSSF","0000022",,,,,"06","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978130,164.1681,5958.09885760088
"06021","05000US06021","Glenn County","Glenn County, California","ca","050","00","ACSSF","0000023",,,,,"06","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27897,21.23112,1313.96760139429
"06023","05000US06023","Humboldt County","Humboldt County, California","ca","050","00","ACSSF","0000024",,,,,"06","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135768,38.04972,3568.17378922219
"06025","05000US06025","Imperial County","Imperial County, California","ca","050","00","ACSSF","0000025",,,,,"06","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180216,43.14917,4176.58047527633
"06027","05000US06027","Inyo County","Inyo County, California","ca","050","00","ACSSF","0000026",,,,,"06","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18085,1.776359,10180.9382529958
"06029","05000US06029","Kern County","Kern County, California","ca","050","00","ACSSF","0000027",,,,,"06","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883053,108.5864,8132.25980043151
"06031","05000US06031","Kings County","Kings County, California","ca","050","00","ACSSF","0000028",,,,,"06","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150075,107.9436,1390.30903309205
"06033","05000US06033","Lake County","Lake County, California","ca","050","00","ACSSF","0000029",,,,,"06","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64148,51.05223,1256.51717923017
"06035","05000US06035","Lassen County","Lassen County, California","ca","050","00","ACSSF","0000030",,,,,"06","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31185,6.86715,4541.18546958519
"06037","05000US06037","Los Angeles County","Los Angeles County, California","ca","050","00","ACSSF","0000031",,,,,"06","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10098052,2488.312,4058.19327039353
"06039","05000US06039","Madera County","Madera County, California","ca","050","00","ACSSF","0000032",,,,,"06","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155013,72.54012,2136.92789310221
"06041","05000US06041","Marin County","Marin County, California","ca","050","00","ACSSF","0000033",,,,,"06","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260295,500.128,520.456786672371
"06043","05000US06043","Mariposa County","Mariposa County, California","ca","050","00","ACSSF","0000034",,,,,"06","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17540,12.10626,1448.83762550251
"06045","05000US06045","Mendocino County","Mendocino County, California","ca","050","00","ACSSF","0000035",,,,,"06","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87422,24.93242,3506.3586950982
"06047","05000US06047","Merced County","Merced County, California","ca","050","00","ACSSF","0000036",,,,,"06","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269075,139.0104,1935.64631805244
"06049","05000US06049","Modoc County","Modoc County, California","ca","050","00","ACSSF","0000037",,,,,"06","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8938,2.282754,3915.44661365226
"06051","05000US06051","Mono County","Mono County, California","ca","050","00","ACSSF","0000038",,,,,"06","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14174,4.648758,3048.98658063281
"06053","05000US06053","Monterey County","Monterey County, California","ca","050","00","ACSSF","0000039",,,,,"06","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433212,132.0076,3281.72052071284
"06055","05000US06055","Napa County","Napa County, California","ca","050","00","ACSSF","0000040",,,,,"06","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140530,187.7965,748.310098734048
